Strategy_Type,pc3,pc2,pc1,pc0,pd3,pd2,pd1,pd0
stra.1,0,0,0,0,0,0,0,0
stra.2,0,0,0,0,0,0,0,1
stra.3,0,0,0,0,0,0,1,0
stra.4,0,0,0,0,0,0,1,1
stra.5,0,0,0,0,0,1,0,0
stra.6,0,0,0,0,0,1,0,1
stra.7,0,0,0,0,0,1,1,0
stra.8,0,0,0,0,0,1,1,1
stra.9,0,0,0,0,1,0,0,0
stra.10,0,0,0,0,1,0,0,1
stra.11,0,0,0,0,1,0,1,0
stra.12,0,0,0,0,1,0,1,1
stra.13,0,0,0,0,1,1,0,0
stra.14,0,0,0,0,1,1,0,1
stra.15,0,0,0,0,1,1,1,0
stra.16,0,0,0,0,1,1,1,1
stra.17,0,0,0,1,0,0,0,0
stra.18,0,0,0,1,0,0,0,1
stra.19,0,0,0,1,0,0,1,0
stra.20,0,0,0,1,0,0,1,1
stra.21,0,0,0,1,0,1,0,0
stra.22,0,0,0,1,0,1,0,1
stra.23,0,0,0,1,0,1,1,0
stra.24,0,0,0,1,0,1,1,1
stra.25,0,0,0,1,1,0,0,0
stra.26,0,0,0,1,1,0,0,1
stra.27,0,0,0,1,1,0,1,0
stra.28,0,0,0,1,1,0,1,1
stra.29,0,0,0,1,1,1,0,0
stra.30,0,0,0,1,1,1,0,1
stra.31,0,0,0,1,1,1,1,0
stra.32,0,0,0,1,1,1,1,1
stra.33,0,0,1,0,0,0,0,0
stra.34,0,0,1,0,0,0,0,1
stra.35,0,0,1,0,0,0,1,0
stra.36,0,0,1,0,0,0,1,1
stra.37,0,0,1,0,0,1,0,0
stra.38,0,0,1,0,0,1,0,1
stra.39,0,0,1,0,0,1,1,0
stra.40,0,0,1,0,0,1,1,1
stra.41,0,0,1,0,1,0,0,0
stra.42,0,0,1,0,1,0,0,1
stra.43,0,0,1,0,1,0,1,0
stra.44,0,0,1,0,1,0,1,1
stra.45,0,0,1,0,1,1,0,0
stra.46,0,0,1,0,1,1,0,1
stra.47,0,0,1,0,1,1,1,0
stra.48,0,0,1,0,1,1,1,1
stra.49,0,0,1,1,0,0,0,0
stra.50,0,0,1,1,0,0,0,1
stra.51,0,0,1,1,0,0,1,0
stra.52,0,0,1,1,0,0,1,1
stra.53,0,0,1,1,0,1,0,0
stra.54,0,0,1,1,0,1,0,1
stra.55,0,0,1,1,0,1,1,0
stra.56,0,0,1,1,0,1,1,1
stra.57,0,0,1,1,1,0,0,0
stra.58,0,0,1,1,1,0,0,1
stra.59,0,0,1,1,1,0,1,0
stra.60,0,0,1,1,1,0,1,1
stra.61,0,0,1,1,1,1,0,0
stra.62,0,0,1,1,1,1,0,1
stra.63,0,0,1,1,1,1,1,0
stra.64,0,0,1,1,1,1,1,1
stra.65,0,1,0,0,0,0,0,0
stra.66,0,1,0,0,0,0,0,1
stra.67,0,1,0,0,0,0,1,0
stra.68,0,1,0,0,0,0,1,1
stra.69,0,1,0,0,0,1,0,0
stra.70,0,1,0,0,0,1,0,1
stra.71,0,1,0,0,0,1,1,0
stra.72,0,1,0,0,0,1,1,1
stra.73,0,1,0,0,1,0,0,0
stra.74,0,1,0,0,1,0,0,1
stra.75,0,1,0,0,1,0,1,0
stra.76,0,1,0,0,1,0,1,1
stra.77,0,1,0,0,1,1,0,0
stra.78,0,1,0,0,1,1,0,1
stra.79,0,1,0,0,1,1,1,0
stra.80,0,1,0,0,1,1,1,1
stra.81,0,1,0,1,0,0,0,0
stra.82,0,1,0,1,0,0,0,1
stra.83,0,1,0,1,0,0,1,0
stra.84,0,1,0,1,0,0,1,1
stra.85,0,1,0,1,0,1,0,0
stra.86,0,1,0,1,0,1,0,1
stra.87,0,1,0,1,0,1,1,0
stra.88,0,1,0,1,0,1,1,1
stra.89,0,1,0,1,1,0,0,0
stra.90,0,1,0,1,1,0,0,1
stra.91,0,1,0,1,1,0,1,0
stra.92,0,1,0,1,1,0,1,1
