generation,stra.1,stra.15,stra.71,stra.138,stra.195,stra.197,stra.229,stra.233,stra.237,stra.257
0,0.00389105,0.00389105,0.00389105,0.00389105,0.00389105,0.00389105,0.00389105,0.00389105,0.00389105,0.00389105
1,0.00778185,0.0044093,0.00572164,0.00526475,0.00619239,0.00574094,0.00407227,0.00389454,0.00229758,0.00391375
2,0.0132197,0.00449044,0.00721717,0.00606491,0.00849275,0.00770951,0.0038636,0.00386311,0.00139735,0.0037082
3,0.020256,0.00437967,0.00843864,0.00611787,0.0105623,0.00971047,0.00352167,0.00381782,0.000901819,0.00339995
4,0.0284995,0.00418935,0.00937855,0.00547984,0.0121848,0.0116312,0.00318554,0.00377457,0.000629878,0.0030761
5,0.0371966,0.00398997,0.0100581,0.00443643,0.0132475,0.0133659,0.00291557,0.00374787,0.000479943,0.00278888
6,0.0457011,0.00381497,0.0105434,0.00329684,0.013788,0.0148871,0.00271983,0.00374567,0.000394659,0.0025532
7,0.0534716,0.00367631,0.0108971,0.00227554,0.0139023,0.0161899,0.00259042,0.00376924,0.000345837,0.00236812
8,0.0601818,0.00357409,0.0111714,0.00147328,0.0137098,0.0172857,0.00251493,0.00381453,0.000318706,0.00222591
9,0.0657328,0.00350292,0.0114035,0.000903226,0.0133226,0.018195,0.00248119,0.00387479,0.000305088,0.00211722
10,0.0701555,0.00345616,0.0116148,0.000533054,0.0128336,0.0189352,0.00247901,0.0039424,0.000300272,0.00203433
11,0.073652,0.00342652,0.0118192,0.000305791,0.0123036,0.0195376,0.00249985,0.00401186,0.000301213,0.00196978
12,0.0764383,0.00340828,0.0120236,0.000171515,0.0117663,0.0200314,0.00253791,0.00407999,0.000306117,0.00191814
13,0.078655,0.00339411,0.0122192,9.45E-05,0.0112333,0.0204258,0.00258855,0.00414382,0.000313849,0.00187664
14,0.0805351,0.00338779,0.0124291,5.14E-05,0.0107274,0.0207691,0.00265205,0.00420702,0.000324093,0.00184147
15,0.0821091,0.00338401,0.0126405,2.76E-05,0.010241,0.0210556,0.00272457,0.00426597,0.000336217,0.00181111
16,0.0834541,0.00338143,0.0128523,1.47E-05,0.00977516,0.0212957,0.00280522,0.00432119,0.000350029,0.00178447
17,0.0846255,0.00337912,0.013063,7.77E-06,0.00932966,0.0214972,0.00289338,0.00437322,0.000365421,0.00176073
18,0.0856639,0.00337642,0.0132712,4.08E-06,0.00890356,0.0216661,0.00298866,0.0044225,0.00038234,0.00173929
19,0.0865992,0.00337288,0.0134758,2.13E-06,0.0084958,0.0218071,0.00309077,0.00446946,0.000400769,0.00171968
20,0.0874539,0.00336815,0.0136758,1.11E-06,0.00810533,0.0219236,0.00319953,0.00451441,0.000420713,0.00170155
21,0.0882452,0.00336203,0.0138703,5.77E-07,0.00773123,0.0220188,0.00331484,0.00455763,0.000442196,0.0016846
22,0.0889865,0.00335437,0.0140587,2.98E-07,0.00737266,0.0220949,0.00343665,0.0045993,0.000465251,0.00166861
23,0.0897118,0.00334226,0.0142385,1.54E-07,0.0070294,0.022148,0.00356244,0.00463223,0.000489015,0.00165256
24,0.0903547,0.00332952,0.0144126,7.93E-08,0.00669522,0.0221722,0.00369408,0.00466597,0.000514722,0.00163778
25,0.0910301,0.00331756,0.0145865,4.08E-08,0.00638017,0.0222028,0.00383531,0.00470339,0.000542646,0.00162361
26,0.0916722,0.00330347,0.0147495,2.09E-08,0.00607767,0.0222201,0.00398288,0.00473973,0.000572345,0.00160985
27,0.0922924,0.00328749,0.0149033,1.07E-08,0.00578754,0.0222254,0.00413697,0.00477497,0.000603885,0.00159643
28,0.0928978,0.00326976,0.0150485,5.50E-09,0.00550949,0.0222197,0.0042977,0.00480909,0.000637337,0.00158324
29,0.0934932,0.0032504,0.0151858,2.82E-09,0.00524318,0.0222039,0.00446519,0.0048421,0.000672774,0.00157024
30,0.0939853,0.00322724,0.0153046,1.44E-09,0.00498347,0.0231549,0.00463669,0.00486961,0.000709838,0.00155734
31,0.0945672,0.00320587,0.0154312,7.35E-10,0.00473997,0.023119,0.00481976,0.00490079,0.000749737,0.00154451
32,0.0951473,0.00318308,0.0155507,3.76E-10,0.00450706,0.0230746,0.00501003,0.00493078,0.00079188,0.00153171
33,0.0957271,0.00315896,0.0156631,1.92E-10,0.00428441,0.0230223,0.0052076,0.00495953,0.000836347,0.00151892
34,0.096308,0.00313359,0.0157688,9.78E-11,0.00407165,0.0229626,0.00541259,0.00498702,0.000883224,0.0015061
35,0.0968912,0.00310704,0.0158678,4.99E-11,0.00386846,0.0228961,0.00562511,0.00501321,0.000932595,0.00149324
36,0.0974776,0.00307938,0.0159605,2.54E-11,0.00367449,0.0228232,0.00584526,0.00503808,0.000984545,0.0014803
37,0.0980681,0.00305068,0.016047,1.29E-11,0.00348941,0.0227443,0.00607314,0.00506158,0.00103916,0.00146728
38,0.0986841,0.00301692,0.0161095,6.60E-12,0.00331201,0.022653,0.00630313,0.00507725,0.00109427,0.00145353
39,0.0993046,0.00298612,0.0161832,3.36E-12,0.00314412,0.0225661,0.00654653,0.00509766,0.00115413,0.0014402
40,0.0999147,0.00295466,0.0162516,1.71E-12,0.00298383,0.0224723,0.00679782,0.0051168,0.00121704,0.00142683
41,0.100529,0.00292248,0.0163149,8.70E-13,0.00283113,0.0223739,0.00705719,0.0051345,0.00128298,0.00141335
