generation,ave_CoopeRate
0,0.50001943
1,0.432528835
2,0.391048501
3,0.354988435
4,0.321455824
5,0.289729774
6,0.260269931
7,0.23332487
8,0.209683579
9,0.190130004
10,0.175219358
11,0.165376438
12,0.160901077
13,0.162022542
14,0.16896377
15,0.181981
16,0.201354032
17,0.227312485
18,0.259894706
19,0.2983509
20,0.339993416
21,0.383212459
22,0.425751762
23,0.465849147
24,0.502131959
25,0.533699334
26,0.560130051
27,0.581426614
28,0.597912586
29,0.610109585
30,0.618622931
31,0.624056284
32,0.626961614
33,0.627819503
34,0.62703966
35,0.624971525
36,0.62191745
37,0.618144
38,0.613889534
39,0.609371444
40,0.60477924
41,0.60027306
42,0.596001532
43,0.592073562
44,0.588557985
45,0.585492105
46,0.582883574
47,0.580713955
48,0.578945784
49,0.577524907
50,0.576387488
51,0.575468077
52,0.574703552
53,0.574035565
54,0.573411684
55,0.572785548
56,0.572116369
57,0.571368075
58,0.570508285
59,0.569507251
60,0.568336842
61,0.566767886
62,0.565259661
63,0.5634622
64,0.561379441
65,0.558963648
66,0.556186569
67,0.553014634
68,0.549409487
69,0.545328326
70,0.540724207
71,0.535546422
72,0.529741071
73,0.523251908
74,0.516021591
75,0.507993438
76,0.499412734
77,0.489452173
78,0.478645191
79,0.466924772
80,0.454271518
81,0.440710194
82,0.426314827
83,0.41098687
84,0.395556786
85,0.379851835
86,0.364276819
87,0.349342467
88,0.335622493
89,0.323859387
90,0.314634397
91,0.308567405
92,0.306266252
93,0.308231036
94,0.314833523
95,0.326295772
96,0.342657981
97,0.36372439
98,0.38898767
99,0.41755437
100,0.4481198
101,0.479051012
102,0.508605985
103,0.535242036
104,0.557893678
105,0.576099948
106,0.589946664
107,0.599887729
108,0.605949118
109,0.610279682
110,0.612348877
111,0.612723537
112,0.611808474
113,0.60989332
114,0.607185327
115,0.603832384
116,0.599939069
117,0.595044588
118,0.590516129
119,0.585456226
120,0.579952736
121,0.574036809
122,0.56770891
123,0.560951556
124,0.553736591
125,0.546030612
126,0.537800211
127,0.529017786
128,0.51966808
129,0.509755068
130,0.499308132
131,0.488385576
132,0.477161977
133,0.465761504
134,0.454275662
135,0.442748731
136,0.431138897
137,0.419277996
138,0.406888134
139,0.393532196
140,0.378519578
141,0.361002824
142,0.340031746
143,0.314681039
144,0.284296498
145,0.24887863
146,0.209716691
147,0.169592707
148,0.13180992
149,0.099381693
150,0.074608223
151,0.056222936
152,0.044083615
153,0.036501883
154,0.032016159
155,0.029543573
156,0.028351723
157,0.027971495
158,0.028112199
159,0.029419908
160,0.029680858
161,0.030378941
162,0.031336979
163,0.032474511
164,0.033757392
165,0.035174524
166,0.036727087
167,0.038423597
168,0.040277745
169,0.042307628
170,0.044535739
171,0.046989429
172,0.04970176
173,0.052712728
174,0.056070937
175,0.059835824
176,0.064080644
177,0.068896466
178,0.074397599
179,0.080729001
180,0.088076547
181,0.097327592
182,0.106934696
183,0.118912466
184,0.133452212
185,0.151149874
186,0.17286757
187,0.199739687
188,0.233180319
189,0.274309941
190,0.323468791
191,0.380120561
192,0.441674249
193,0.503139419
194,0.558271626
195,0.601360707
196,0.632721689
197,0.65293598
198,0.665004785
199,0.672028639
200,0.675816307
201,0.678397386
202,0.679562381
203,0.680141271
204,0.680355735
205,0.68031614
