generation,ave_CoopeRate
0,0.500000014
1,0.431765447
2,0.389801294
3,0.353336313
4,0.319515839
5,0.287641693
6,0.25814857
7,0.231267154
8,0.208039765
9,0.188822373
10,0.174284381
11,0.165303928
12,0.160893778
13,0.162286123
14,0.169621957
15,0.183126818
16,0.202807579
17,0.229346336
18,0.262587373
19,0.30161289
20,0.343884648
21,0.387376768
22,0.430059476
23,0.470609587
24,0.506779822
25,0.537635404
26,0.563296482
27,0.584163089
28,0.600166956
29,0.61189461
30,0.619983408
31,0.625048757
32,0.627643402
33,0.628243615
34,0.627253076
35,0.625015211
36,0.621827062
37,0.617950723
38,0.613620774
39,0.608235588
40,0.603736471
41,0.59931348
42,0.59511953
43,0.591262537
44,0.587811739
45,0.584804001
46,0.582245994
47,0.58011805
48,0.57838305
49,0.577297149
50,0.575880229
51,0.574906523
52,0.574120109
53,0.573426609
54,0.572767433
55,0.572095495
56,0.571370164
57,0.570555558
58,0.569619359
59,0.568531725
60,0.567264265
61,0.565789112
62,0.564078379
63,0.562104086
64,0.559835863
65,0.557241188
66,0.554497316
67,0.550979015
68,0.547139045
69,0.542844745
70,0.538409904
71,0.53271577
72,0.526582818
73,0.519823827
74,0.512343521
75,0.504078502
76,0.494980296
77,0.48456738
78,0.473735
79,0.462013142
80,0.449429877
81,0.436049962
82,0.421985268
83,0.407406274
84,0.392554502
85,0.37775654
86,0.363410578
87,0.349995112
88,0.337662928
89,0.328355667
90,0.320776601
91,0.31691149
92,0.316862802
93,0.321000917
94,0.329598753
95,0.342771252
96,0.360429197
97,0.382220426
98,0.407467596
99,0.43513315
100,0.46338235
101,0.491633731
102,0.517926755
103,0.541068249
104,0.560348439
105,0.575568913
106,0.586940218
107,0.59491911
108,0.600055714
109,0.60262448
110,0.603749974
111,0.603344746
112,0.601753452
113,0.599221115
114,0.595922743
115,0.591982749
116,0.587487893
117,0.582496029
118,0.577042165
119,0.571142838
120,0.56450331
121,0.55781017
122,0.550620483
123,0.542915668
124,0.534674534
125,0.525878481
126,0.516190573
127,0.506332198
128,0.495933799
129,0.485034514
130,0.473737356
131,0.462156928
132,0.450326671
133,0.438220111
134,0.425713479
135,0.412547621
136,0.398295377
137,0.382461512
138,0.364300498
139,0.342945981
140,0.317554008
141,0.287533792
142,0.252898298
143,0.214882438
144,0.176011643
145,0.139333793
146,0.107683437
147,0.082892901
148,0.065865249
149,0.053239589
150,0.045835417
151,0.042130742
152,0.039978737
153,0.039185891
154,0.0393741
155,0.040211664
156,0.041524974
157,0.04321565
158,0.045234178
159,0.047563592
160,0.050209868
161,0.053196727
162,0.056563397
163,0.06036451
164,0.064671732
165,0.069577064
166,0.075198009
167,0.081685088
168,0.089232541
169,0.098093487
170,0.108601464
171,0.121179948
172,0.136336588
173,0.154785644
174,0.177461181
175,0.205561536
176,0.240555099
177,0.283317003
178,0.334126524
179,0.392091102
180,0.454118029
181,0.514807095
182,0.568399356
183,0.609434011
184,0.638034381
185,0.65610348
186,0.666827526
187,0.673051489
188,0.67663204
189,0.678696378
190,0.679902358
191,0.680625645
192,0.681078195
193,0.681378796
194,0.681593782
195,0.68085326
196,0.681616288
197,0.681932357
198,0.682104297
199,0.68222797
200,0.682334094
201,0.682432733
202,0.68252732
203,0.682619107
204,0.682708607
205,0.682596745
206,0.682800671
207,0.682935396
208,0.683039379
209,0.683129158
210,0.683211904
211,0.683290754
212,0.683367097
213,0.683441566
214,0.683514464
215,0.683585947
216,0.68365611
217,0.683725018
218,0.68363724
219,0.683803734
220,0.683904514
221,0.683249651
222,0.683699297
223,0.683946056
224,0.683907806
225,0.684047503
226,0.684157243
227,0.684249843
228,0.684331889
229,0.6844069
230,0.684476862
231,0.684905664
232,0.684898204
233,0.684901654
234,0.684913801
235,0.684932834
236,0.684957268
237,0.684985888
238,0.685017692
239,0.685051849
240,0.685087657
241,0.685124511
242,0.684073673
243,0.684653913
244,0.684963029
245,0.685135374
246,0.685238207
247,0.68530495
248,0.685351974
249,0.685387029
250,0.685413436
251,0.685432165
252,0.685442831
253,0.68544414
254,0.685434051
255,0.685409778
256,0.685058923
257,0.685105028
258,0.685083131
259,0.68500003
260,0.684855364
261,0.684643019
262,0.684351729
263,0.683965164
264,0.683461656
265,0.682813706
266,0.681987423
267,0.680450051
268,0.678621153
269,0.677089718
270,0.675165946
271,0.672798967
272,0.668971748
273,0.666216314
274,0.662651647
275,0.65851244
276,0.653954542
277,0.649120326
278,0.644155256
279,0.639203389
280,0.634395574
281,0.629838276
282,0.625607119
283,0.621746135
284,0.618308857
285,0.615300102
286,0.61267462
287,0.610386191
288,0.608391014
289,0.60664935
290,0.604930301
291,0.603753545
292,0.602604878
293,0.601574689
294,0.600661038
295,0.599850101
296,0.599128149
297,0.598483066
298,0.597904302
299,0.597382627
300,0.596909884
301,0.596478767
302,0.596082622
303,0.595715257
304,0.595370771
305,0.595043368
306,0.594727183
307,0.594416076
308,0.593932386
309,0.593477615
310,0.593231155
311,0.592918703
312,0.592550293
313,0.592118811
314,0.591611098
315,0.591009042
316,0.590289222
317,0.58942224
318,0.588371672
319,0.587092776
320,0.585531002
321,0.583620332
322,0.580637047
323,0.57757414
324,0.573809533
325,0.569193107
326,0.563551102
327,0.556686576
328,0.54838218
329,0.538405758
330,0.526518165
331,0.512506661
332,0.496421396
333,0.478171232
334,0.457575129
335,0.434403907
336,0.407981008
337,0.377037859
338,0.339986588
339,0.295617773
340,0.244346173
341,0.189446553
342,0.137100558
343,0.094246576
344,0.063349299
345,0.043275164
346,0.031207314
347,0.024361484
348,0.02067625
349,0.018827124
350,0.018024866
351,0.017817964
352,0.01795389
353,0.018293368
354,0.018760505
355,0.019314639
356,0.019934688
357,0.020610521
358,0.021338224
359,0.022117526
360,0.022950401
361,0.02384034
362,0.024791992
363,0.026304965
364,0.027002448
365,0.028101208
366,0.029352113
367,0.030715804
368,0.032194534
369,0.033800188
370,0.035548429
371,0.037457961
372,0.039550895
373,0.041853459
374,0.044396946
375,0.047218965
376,0.050365046
377,0.053890762
378,0.057864532
379,0.062371385
380,0.067518059
381,0.073626826
382,0.081424759
383,0.088491498
384,0.097679043
385,0.108867457
386,0.122453558
387,0.139021112
388,0.160069339
389,0.184988966
390,0.216566453
391,0.256504613
392,0.306034497
393,0.364552529
394,0.430405729
395,0.496335186
396,0.556093158
397,0.60328079
398,0.635876692
399,0.655935067
400,0.667306126
401,0.67305957
402,0.676623953
403,0.678609057
404,0.67996533
405,0.680569616
406,0.680926723
407,0.681149936
408,0.681299024
409,0.681405262
410,0.68148475
411,0.681545455
412,0.681590942
413,0.681622318
414,0.681639257
415,0.681640512
416,0.681624161
417,0.681587707
418,0.681528093
419,0.681441661
420,0.681324087
421,0.68117028
422,0.68097426
423,0.68072902
424,0.680426354
425,0.679862915
426,0.679534271
427,0.679046526
428,0.678423682
429,0.67766499
430,0.676757596
431,0.675681744
432,0.674418343
433,0.672946729
434,0.671243461
435,0.669285684
436,0.666106242
437,0.664094162
438,0.661516672
439,0.658511476
440,0.655179326
441,0.651598072
442,0.647856752
443,0.644072782
444,0.64046977
445,0.637216509
446,0.634519151
447,0.63256438
448,0.631522416
449,0.631533856
450,0.632698803
451,0.635069559
452,0.638647595
453,0.643384863
454,0.649188947
455,0.655931123
456,0.6634562
457,0.671592998
458,0.680164442
459,0.688996497
460,0.697925452
461,0.706803314
462,0.715501326
463,0.723911759
464,0.731948255
465,0.73963308
466,0.746738857
467,0.753534185
468,0.759623717
469,0.765180939
470,0.77021247
471,0.774732663
472,0.778761632
473,0.782323545
474,0.785445174
475,0.788154689
476,0.79006284
477,0.79197454
478,0.793550225
479,0.794814388
480,0.795789293
481,0.796446659
482,0.796921757
483,0.797145069
484,0.797128668
485,0.796876633
486,0.79638418
487,0.795635817
488,0.794602383
489,0.793236641
490,0.791467011
491,0.78918877
492,0.786251868
493,0.782444213
494,0.777469046
495,0.771008432
496,0.762318367
497,0.750724683
498,0.73522251
499,0.714547175
500,0.687258752
501,0.651558652
502,0.609002791
503,0.563144847
504,0.523897856
505,0.500447004
506,0.491294513
507,0.487856942
508,0.485809849
509,0.484544287
510,0.484004004
511,0.484085362
512,0.484860837
513,0.485591459
514,0.486655621
515,0.487851691
516,0.489081392
517,0.490289221
518,0.491444727
519,0.492534504
520,0.493556824
521,0.494517547
522,0.495427075
523,0.496298202
524,0.497144697
525,0.497827638
526,0.498768782
527,0.499655125
528,0.500547394
529,0.50147253
530,0.502446474
531,0.503481435
532,0.504588196
533,0.505776845
534,0.507056986
535,0.508437339
536,0.509922412
537,0.511518906
538,0.513232495
539,0.51506765
540,0.517027446
541,0.519113373
542,0.521325158
543,0.52366062
544,0.526027815
545,0.528600308
546,0.531276663
547,0.534047291
548,0.536900461
549,0.539813393
550,0.54276581
551,0.545741677
552,0.548724979
