,stra.1,stra.2,stra.3,stra.4,stra.5,stra.6,stra.7,stra.8,stra.9,stra.10,stra.11,stra.12,stra.13,stra.14,stra.15,stra.16,stra.17
stra.1,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.00099978
stra.2,0.49975,0.4995,0.33378,0.499,0.40004,0.33356,0.00299,0.2505,0.4995,0.33367,0.33356,0.33344,0.25062,0.001998,0.001997,0.001996,0.33378
stra.3,0.001996,0.33344,0.2505,0.499,0.001997,0.33356,0.00299,0.33378,0.001998,0.33367,0.33356,0.4995,0.25062,0.4995,0.40004,0.49975,0.25036
stra.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
stra.5,0.33356,0.20072,0.001997,0.0014995,0.2505,0.001996,0.0016651,0.001002,0.33344,0.2006,0.001996,0.001499,0.16744,0.001499,0.0013331,0.001001,0.0029879
stra.6,0.998,0.66611,0.66611,0.5,0.99701,0.5,0.5,0.33389,0.99701,0.5,0.5,0.33389,0.5,0.002992,0.002992,0.001998,0.5
stra.7,0.5,0.99601,0.003986,0.5,0.33422,0.5,0.002994,0.334,0.66578,0.99701,0.5,0.666,0.5,0.5996,0.4004,0.5,0.49992
stra.8,0.998,0.7495,0.66656,0.501,0.998,0.66644,0.66633,0.5005,0.998,0.99701,0.66644,0.66622,0.74938,0.59996,0.5005,0.50025,0.66622
stra.9,0.001001,0.001499,0.001002,0.0014995,0.0013331,0.001996,0.0016651,0.001997,0.001499,0.2006,0.001996,0.20072,0.16744,0.33344,0.2505,0.33356,0.0010305
stra.10,0.5,0.666,0.334,0.5,0.4004,0.5,0.002994,0.003986,0.5996,0.99701,0.5,0.99601,0.5,0.66578,0.33422,0.5,0.50005
stra.11,0.001998,0.33389,0.33389,0.5,0.002992,0.5,0.5,0.66611,0.002992,0.5,0.5,0.66611,0.5,0.99701,0.99701,0.998,0.50008
stra.12,0.50025,0.66622,0.5005,0.501,0.5005,0.66644,0.66633,0.66656,0.59996,0.99701,0.66644,0.7495,0.74938,0.998,0.998,0.998,0.75008
stra.13,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.50047
stra.14,0.999,0.999,0.9985,0.9985,0.9985,0.998,0.7994,0.79928,0.99867,0.99833,0.998,0.998,0.83256,0.7495,0.66656,0.66644,0.99701
stra.15,0.66644,0.998,0.79928,0.9985,0.66656,0.998,0.7994,0.9985,0.7495,0.99833,0.998,0.999,0.83256,0.99867,0.9985,0.999,0.99899
stra.16,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999
stra.17,0.0010114,0.33378,0.25036,0.5,0.0029882,0.5,0.49992,0.66622,0.001042,0.50005,0.50008,0.75008,0.50047,0.99701,0.99898,0.99899,0.99867
