,stra.1,stra.2,stra.3,stra.4,stra.5,stra.6,stra.7,stra.8,stra.9,stra.10,stra.11,stra.12,stra.13,stra.14,stra.15,stra.16,stra.17
stra.1,1.00E-05,0.50387,0.001016,0.50412,0.33594,1.0075,0.50412,1.0075,1.10E-05,0.50412,0.001018,0.50437,0.50412,1.0085,0.67232,1.0085,2.18E-05
stra.2,-0.49874,0.12701,0.0031105,0.12801,-0.19725,0.44773,1.0035,0.59917,-0.49799,0.44766,0.0037777,0.44808,0.25457,1.008,1.0065,1.008,0.0034999
stra.3,-0.00098601,0.0037788,0.0025651,0.0062454,2.09E-05,0.44787,0.0010398,0.44824,-0.00098598,0.0037827,0.0037794,0.0062533,0.31519,0.75313,0.56341,0.75363,0.0025647
stra.4,-0.49899,0.12576,0.0042429,0.06645,-0.49849,0.12726,0.066251,0.1285,-0.49849,0.06625,0.0052473,0.0064963,0.066713,0.75288,0.75263,0.7535,0.005366
stra.5,-0.33255,0.20344,2.09E-05,0.50374,0.002568,1.0055,0.33606,1.0075,-0.3321,0.20392,0.0010274,0.50425,0.33772,1.0075,0.67222,1.0085,3.17E-05
stra.6,-0.99699,-0.27488,-0.27481,0.12726,-0.99499,0.066754,0.065999,0.44709,-0.99499,0.066166,0.066252,0.44804,0.0052479,1.006,1.006,1.008,0.066248
stra.7,-0.49899,-0.99299,-0.0009632,0.066251,-0.33254,0.065999,3.29E-05,0.44784,-0.6641,-0.99398,0.066632,0.11572,0.067016,0.364,0.56318,0.7535,0.066178
stra.8,-0.99699,-0.46553,-0.27496,0.12626,-0.99699,-0.27517,-0.27444,0.12751,-0.99599,-0.99298,0.11509,0.11591,-0.18382,0.36311,0.75237,0.75338,0.11552
stra.9,9.00E-06,0.50312,0.001016,0.50362,0.3355,1.0055,0.67099,1.0065,1.53E-05,0.46423,0.0010278,0.46355,0.37907,0.83924,0.59899,0.83638,2.20E-05
stra.10,-0.49899,-0.27456,0.0031126,0.06625,-0.19773,0.066166,1.0045,1.004,-0.37718,0.49653,0.065736,0.49704,0.066402,0.66788,0.83548,0.75045,0.064224
stra.11,-0.000988,0.0031085,0.0031102,0.0052473,-0.00097505,0.066252,0.066632,0.11582,-0.00097479,0.065736,0.064394,0.11561,0.12684,0.49807,0.49801,0.49902,0.070421
stra.12,-0.49924,-0.27507,0.0042468,0.0044933,-0.49899,-0.2747,0.115,0.11519,-0.37772,0.49455,0.11488,0.18924,-0.12204,0.49755,0.49904,0.49905,0.19008
stra.13,-0.49899,-0.24678,-0.21639,0.066713,-0.33083,0.0052479,0.067016,0.34763,-0.31698,0.066402,0.12684,0.44023,0,0.47662,0.54186,0.75125,0.12763
stra.14,-0.99799,-0.99698,-0.37187,-0.37112,-0.99699,-0.99498,-0.076635,-0.076377,-0.60712,-0.10893,0.49558,0.49755,-0.24604,0.19166,0.67003,0.66822,0.4961
stra.15,-0.66543,-0.99599,-0.31707,-0.37124,-0.66521,-0.99498,-0.31677,-0.3705,-0.46558,-0.60674,0.49552,0.49655,-0.20686,-0.10657,0.49815,0.49853,0.4985
stra.16,-0.99799,-0.99698,-0.37199,-0.37162,-0.99799,-0.99698,-0.37162,-0.37125,-0.60837,-0.37315,0.49653,0.49656,-0.37275,-0.10863,0.49853,0.49852,0.49851
stra.17,-1.64E-06,0.0034994,0.0025642,0.0053656,3.10E-05,0.066247,0.066178,0.11552,-1.14E-06,0.064221,0.070421,0.19008,0.12763,0.4961,0.49853,0.49854,0.49802
