generation,ave_CoopeRate
0,0.500002046
1,0.334071362
2,0.240596574
3,0.178989613
4,0.132639754
5,0.097959912
6,0.073461514
7,0.057476015
8,0.04794852
9,0.042980201
10,0.041149766
11,0.0414981
12,0.043490649
13,0.046902997
14,0.051746933
15,0.058247043
16,0.066867694
17,0.078402368
18,0.094159633
19,0.116321799
20,0.148633105
21,0.197716914
22,0.275442648
23,0.401877369
24,0.601393003
25,0.847884946
26,0.987917689
27,0.998160818
28,0.998600073
29,1
30,0.998669611
31,0.998671016
32,0.998671251
33,0.998671295
34,0.998671304
35,0.998671308
36,0.998671309
37,0.998671311
38,0.998671312
39,0.998672035
40,0.998671312
41,0.998671313
42,0.998671314
43,0.998671315
44,0.998671317
45,0.998671318
46,0.998671319
47,0.998675503
48,0.998671212
49,0.998671319
50,0.998671321
51,0.998671322
52,0.998671323
53,0.998671324
54,0.998671326
55,0.998671327
56,0.998671328
57,0.99867133
58,0.998671331
59,0.998671332
60,0.998671334
61,1
62,0.998671982
63,0.998671984
64,0.998671986
65,0.998671988
66,0.99867199
67,0.998671992
68,0.998671994
69,0.999667882
70,0.998662667
71,0.998671901
72,0.998671997
73,0.998672
74,0.998672002
75,0.998672004
76,0.998672006
77,0.998672008
78,0.999666323
79,0.99853969
80,0.998654258
81,0.998669625
82,0.99867169
83,0.99867197
84,0.998672009
85,0.998672016
86,0.999999259
87,0.998518896
88,0.99863655
89,0.998663797
90,0.998670115
91,0.998671582
92,0.998671923
93,0.998672004
94,0.998672024
95,0.998672031
96,0.998672034
97,0.998672036
98,0.998672038
99,0.99867204
100,0.999668258
101,0.998417807
102,0.999603235
103,0.998527214
104,0.998651283
105,0.998668829
106,0.998671492
107,0.99867194
108,0.998672026
109,0.998672046
110,0.998672052
111,0.998672055
112,0.998672057
113,0.998672059
114,0.998672061
115,0.998672063
116,0.998672065
117,0.998672067
118,0.998672069
119,0.998672071
120,0.998672073
121,0.998672075
122,0.998672077
123,0.998672079
124,0.998672081
125,0.998672083
126,0.998672085
127,0.998672088
128,0.99867209
129,0.998672092
130,0.998672094
131,0.998672096
132,0.998672098
133,0.99916983
134,0.998665258
135,0.998672069
136,0.999668178
137,0.998417879
138,0.998606986
139,0.99865542
140,0.998667831
141,0.998671012
142,0.998671829
143,0.99867204
144,0.998672096
145,0.998672111
146,0.998672117
147,0.99867212
148,0.998672122
149,0.998672124
150,0.998672126
151,0.998672128
152,0.998672131
153,0.998672133
154,0.998672135
155,0.998672137
156,0.998672139
157,1
158,0.998672139
159,0.998672141
160,0.998672143
161,0.998672145
162,0.998672147
163,0.998672149
164,0.998672152
165,0.998672154
166,0.998672156
167,0.998672158
168,0.99867216
169,0.998672162
170,0.998672008
171,0.998672162
172,0.998672164
173,0.998672166
174,0.999667655
175,0.998662883
176,0.998672074
177,0.999668088
178,0.998417961
179,0.998607058
180,0.998655489
181,0.998667899
182,0.998671081
183,0.998671897
184,0.998672108
185,0.998672164
186,0.99867218
187,0.999667629
188,0.998662907
189,0.998672093
190,0.998672188
191,0.998672191
192,0.998672194
193,0.998672196
194,0.998672198
195,0.9986722
196,0.998672202
197,0.998672204
198,0.998672207
199,0.998672209
200,0.998672211
201,0.998672213
202,0.998672215
203,0.998672217
204,0.99867222
205,0.998672222
206,0.998672224
207,0.998672226
208,0.998672228
209,0.99867223
210,0.998672233
211,0.999998863
212,0.998519127
213,0.998636771
214,1
215,0.998482247
216,0.998600289
217,0.998644953
218,0.998661885
219,0.998668312
220,0.998670754
221,0.999998263
222,0.99851893
223,0.998636706
224,0.998664001
225,0.998670337
226,0.998671811
227,0.998672156
228,0.998672238
229,0.998672259
230,0.998672265
231,0.998672268
232,0.998672271
233,0.998672273
234,0.998672275
235,0.998672278
236,0.99867228
237,0.998672282
238,0.998672284
239,0.998672287
240,0.998672289
241,0.998672291
242,0.998672293
243,0.998672296
244,0.998672298
245,0.9986723
246,0.998672302
247,0.998672305
248,0.998672307
249,0.998672309
250,0.998672311
251,0.998672314
252,0.998672316
253,0.998672318
254,0.998672321
255,0.998672323
256,0.998672325
257,0.998672327
258,0.999667879
259,0.99841815
260,0.999604219
261,0.998517225
262,0.998648776
263,0.998668555
264,0.998670088
265,0.998669717
266,0.998672307
267,0.998672332
268,0.998672339
269,0.998672342
270,0.998672345
271,0.998672347
272,0.998672349
273,0.998672352
274,0.998672354
275,0.998672356
276,0.998672359
277,1
278,0.998484341
279,0.998600896
280,0.998645202
281,0.998662044
282,0.998668447
283,0.998670883
