generation,ave_CoopeRate
0,0.499998447
1,0.332171536
2,0.250515193
3,0.192389527
4,0.147033406
5,0.11211427
6,0.087314478
7,0.071927645
8,0.065506516
9,0.063886423
10,0.069702486
11,0.081026553
12,0.100888377
13,0.134058535
14,0.190808406
15,0.292283127
16,0.475689986
17,0.758033759
18,0.974029908
19,0.997812866
20,0.998564891
21,0.998652389
22,0.998664432
23,0.998666159
24,1
25,0.998662496
26,0.998662551
27,0.998662598
28,0.998662641
29,0.998662684
30,0.998662727
31,0.998662768
32,0.99866281
33,0.998662851
34,0.998662892
35,0.998662933
36,0.998663129
37,0.998662104
38,0.998663071
39,0.998663111
40,0.99866315
41,0.998663189
42,0.998663227
43,0.998663265
44,0.998663303
45,0.998663341
46,0.998663378
47,0.998663415
48,0.998663452
49,0.998663488
50,0.998663525
51,0.998663561
52,0.998663596
53,0.998663632
54,0.998663667
55,0.998663702
56,0.998663737
57,0.998663772
58,0.998663806
59,0.99866384
60,0.998663874
61,0.998663907
62,0.998663941
63,0.998663974
64,0.998664007
65,0.998664039
66,0.998664072
67,0.998664104
68,0.998664136
69,0.998664168
70,0.998664199
71,0.998664231
72,0.998664262
73,0.998664293
74,0.998664323
75,0.998664354
76,0.998664384
77,0.998664414
78,0.998664444
79,0.998664474
80,0.998664503
81,0.998664533
82,0.998664562
83,0.998664591
84,0.999662928
85,0.99865749
86,0.998664629
87,0.998664713
88,0.998664741
89,0.998664769
90,0.998664796
91,0.99966225
92,0.998535802
93,0.998648109
94,0.998662729
95,0.998664654
96,0.998664928
97,0.998664986
98,0.998665016
99,0.998665043
100,0.998665069
101,0.998665094
102,0.99866512
103,0.998665145
104,0.99866517
105,0.998665195
106,0.99866522
107,1
108,0.998665501
109,0.998665526
110,0.998665551
111,0.998665577
112,0.999662696
113,0.998658537
114,0.998665604
115,0.998665683
116,0.998665707
117,0.998665731
118,0.999663811
119,0.99853608
120,0.998648956
121,0.998663446
122,0.998664657
123,0.998665854
124,0.998665909
125,1
126,0.998666226
127,0.99866625
128,1
129,0.998666568
130,1
131,0.998665543
132,0.998666924
133,0.998666948
134,0.998666972
135,0.998666996
136,0.998667019
137,0.998667043
138,0.998667066
139,0.998667089
140,0.998667112
141,0.998667135
142,0.998667158
143,0.998667181
144,0.998667204
145,0.998667226
146,0.998667249
147,0.998667271
148,0.998667293
149,0.998667315
150,0.998667337
151,0.998668557
152,0.998666888
153,1
154,0.99847647
155,0.998593732
156,0.998639018
157,0.998656513
158,0.998663279
159,0.999659208
160,0.999407777
161,0.998474839
162,0.998634714
163,0.999655385
164,0.998536977
165,0.998650592
166,0.998665455
167,0.998667425
168,0.999663067
169,0.998534948
170,0.998650022
171,0.998665429
172,0.998667506
173,0.998667801
174,0.999163962
175,0.998662967
176,0.999661975
177,0.998538525
178,0.998651145
179,0.998665786
180,0.998667702
181,0.998667967
182,0.998668018
183,0.99866804
184,0.998668059
185,0.998668078
186,1
187,0.998668466
188,0.998668484
189,0.998668503
190,0.998668521
191,0.998668539
192,0.998668557
193,0.999163477
194,0.998663691
195,0.9986686
196,0.998668633
197,0.998668651
198,0.998668669
199,0.998668686
200,0.998668704
201,0.998668721
202,0.998668739
203,0.998668756
204,0.998668773
205,0.99866879
206,0.998668807
207,1
208,0.998669214
209,0.998669231
210,0.998669248
211,0.998669265
212,0.998669282
213,0.998669299
214,0.998669316
215,0.998669333
216,0.998669349
217,0.998669366
218,0.998669383
219,0.998669399
220,0.998668285
221,0.99866883
222,0.998669454
223,0.99866947
224,0.998669486
225,0.998669502
226,0.999660557
227,0.998539451
228,0.998652562
229,0.998667349
230,0.998669293
231,1
232,0.99847887
233,0.99859596
234,0.998641195
235,0.9999794
236,0.998513788
237,0.998633288
238,0.998661101
239,0.99866765
240,0.998669224
241,0.998669621
242,0.998669732
243,0.998669773
244,1
245,0.998664003
246,0.998664046
247,0.998664089
248,0.998664132
249,0.998664174
250,1
251,1
252,0.999320017
253,0.998655817
254,0.998664383
255,0.999654553
256,0.99853462
257,0.99864762
258,0.998662401
259,0.998664364
260,0.998664653
261,0.998664725
262,0.998664768
263,0.998664807
264,0.998664845
265,0.998664883
266,0.998664921
267,0.998664958
268,0.998664996
269,0.998665033
270,0.99866507
271,0.998665106
272,0.998665143
273,0.998665179
274,0.998665215
275,0.998665251
276,0.998665287
277,0.998665322
278,0.998665357
279,0.998665392
280,0.998665427
281,0.998665462
282,0.998665496
283,0.99866553
284,0.998665564
285,1
286,0.998665813
287,0.998665847
288,0.99866588
289,0.998665914
290,0.998665947
291,0.99866598
292,0.998666013
293,0.998666046
294,0.998666079
295,0.998666111
296,0.998666144
297,0.998659287
298,0.998664475
299,0.998666256
300,0.998666289
301,0.99866632
302,0.998666351
303,0.998666382
304,0.998666413
305,0.998666444
306,0.998666475
307,0.998666505
308,0.998666535
309,0.998666565
310,0.998666595
311,0.998666625
312,0.998666655
313,0.998666684
314,0.998666714
315,0.998666743
316,0.998666772
317,0.998666801
318,0.998666829
319,0.998666858
320,0.998666887
321,0.998666915
322,0.998666943
323,0.998666971
324,0.998666999
325,0.99866039
326,0.998665381
327,0.998667095
328,0.998667124
329,0.998667151
330,0.998667178
331,0.998667205
332,0.998667232
333,0.998667259
334,0.998667285
335,0.998667311
336,0.998667338
337,0.999986249
338,0.998515773
339,0.998632661
340,0.998659474
341,0.998665644
342,0.998667079
343,0.998667428
344,0.998667527
345,0.99866757
346,0.998667598
347,0.998667624
348,0.998663764
349,0.998667683
350,0.998667708
351,0.998667732
352,0.998667756
353,0.998667781
354,0.998667805
355,0.998667829
356,0.998667852
357,0.998667876
358,0.9986679
359,0.998667923
360,0.998667946
361,0.99866797
362,0.998667993
363,0.998668016
364,0.998668039
365,0.998668062
366,0.998668085
367,0.998668107
368,0.99866813
369,0.998668152
370,0.998668175
371,0.998668197
372,0.998668219
373,0.998668241
374,0.999657701
375,0.998660541
376,0.998668248
377,0.998668334
378,0.998668356
379,0.998668377
380,0.998668399
381,0.99866842
382,0.998668441
383,0.998668462
384,0.998668483
385,0.998668504
386,0.998668525
387,0.998668546
388,1
389,0.998668918
390,0.998668939
391,0.998668959
392,0.99866898
393,0.998669
394,0.99866902
395,0.999661019
396,0.998536656
397,0.998651368
398,0.998666732
399,0.999986548
400,0.998517425
401,0.998634365
402,0.998661197
403,0.99866737
404,0.998668801
405,0.998669145
406,0.998669239
407,0.998669275
408,0.998669298
409,0.998669318
410,0.998669338
411,0.998669357
412,0.998669375
413,0.998669394
414,0.998669413
415,0.998669432
416,0.99866945
417,0.998669469
418,0.998669487
419,0.998669506
420,1
421,0.998669902
422,0.99866992
423,0.998669938
424,0.998669957
425,0.998669975
426,0.998664723
427,0.998670016
428,0.998670033
429,0.998670051
430,0.998670069
431,0.998670087
432,0.998670104
433,0.998670122
434,0.998670139
435,0.998670157
436,0.998670174
437,0.998670192
438,0.998670209
439,0.998670226
440,0.998670243
441,0.999656804
442,0.999407209
443,1
444,0.999571485
445,0.998513859
446,1
447,0.998653339
448,0.998656292
449,0.99865687
450,0.998657053
451,0.998657164
452,0.99865726
453,0.998657351
454,0.998657442
455,0.998657531
456,0.998657619
457,0.998657707
458,0.998657794
459,0.998657881
460,0.998657967
461,0.998658052
462,0.998658137
463,0.998658221
464,1
465,0.998468553
466,0.998585209
467,0.99863028
468,0.998647722
469,0.998654502
470,0.998657166
471,0.998658243
472,0.998658706
473,0.998658933
474,0.998659067
475,0.998659166
476,0.998659251
477,0.99865933
478,0.998659406
479,0.998659481
480,0.998659556
481,0.998659629
482,0.998659702
483,0.998659775
484,0.998659847
485,0.998659918
486,0.998659989
487,0.998660059
488,0.998660129
489,0.998660199
490,0.998660268
491,0.998660336
492,0.998660404
493,0.998660472
494,0.998660539
495,0.998660605
496,0.998660671
497,0.998660737
498,0.998660802
499,0.999646851
500,0.998653154
501,0.998660952
502,0.998661081
503,0.998661144
504,0.998661207
505,0.998661269
506,0.99866133
507,0.998661391
508,0.998661452
509,0.998661513
510,0.998661573
511,0.998661632
512,0.998661691
513,0.99866175
514,0.999646218
515,0.998534119
516,0.99864542
517,0.99865986
518,0.99965271
519,1
520,0.998454413
521,0.998586457
522,0.998633623
523,0.998651351
524,0.998658159
525,0.998660811
526,0.998661866
527,0.998662306
528,0.998662508
529,0.999647455
530,0.998534845
531,0.998646225
532,0.998660682
533,0.9986626
534,0.998662893
535,0.998662975
536,0.99866303
537,0.998663081
538,0.99866313
539,0.99866318
540,0.998663229
541,0.998663278
542,0.998663327
543,0.998663375
544,1
545,0.998663539
546,0.998663587
547,0.998663634
548,0.998663681
549,0.998663728
550,0.998654955
551,0.998661621
552,0.998663893
553,0.998663942
554,0.998663987
555,0.998658592
556,0.998664098
557,0.998664142
558,0.998664187
559,0.998664231
560,0.998664274
561,0.998664318
562,0.998664361
563,0.998664404
564,0.998664447
565,0.99866449
566,0.998664532
567,0.998664574
568,0.998664616
569,0.998664657
570,0.998660383
571,0.99866355
572,0.998664804
573,0.998664846
574,0.999649384
575,0.998536919
576,0.99864839
577,1
578,0.99865795
579,0.998648995
580,0.998656029
581,0.998658519
582,0.998658603
583,0.998658684
584,0.998658764
585,0.998658843
586,0.998658922
587,0.998659
588,0.998659078
589,0.998659155
590,0.998659231
591,0.998659307
592,0.998659382
593,0.998659457
594,0.998659531
595,0.998659605
596,0.998659678
597,0.998659751
598,0.999645124
599,0.998411526
600,0.998597702
601,0.998635732
602,0.998653997
603,0.998659263
604,0.998660068
605,0.99866032
606,0.998656045
607,0.998659253
608,0.99866062
609,0.998660688
610,0.998660754
611,0.998660819
612,0.998660883
613,0.998660948
614,0.998661011
615,0.998661075
616,0.998661137
617,0.9986612
618,0.998661262
619,0.998661323
620,0.998661384
621,0.998661445
622,0.998661506
623,0.998661565
624,0.998661625
625,0.998661684
626,0.999652764
627,0.99852975
628,0.998644223
629,0.998659562
630,0.998661659
631,0.998657033
632,0.998662106
633,0.998662167
634,0.998662223
635,0.99964977
636,0.998532277
637,0.998645396
638,0.998660235
639,0.998662221
640,0.998662526
641,0.998662612
642,0.998662669
643,0.998662722
644,0.998662774
645,0.998662826
646,0.999979395
647,0.998511669
648,0.998628385
649,0.998655123
650,0.998661282
651,0.99866273
652,0.998663099
653,0.998663222
654,0.998663287
655,0.998663339
656,1
657,0.998659127
658,0.998662237
659,1
660,0.998663698
661,0.998663744
662,0.998663791
663,0.998663837
664,0.998663883
665,0.998659718
666,0.998662698
667,0.998664045
668,0.998664091
669,0.998664136
670,0.99866418
671,0.998664224
672,0.998664267
673,0.998664311
674,0.998664354
675,0.998664397
676,0.998664439
677,0.998664482
678,0.998664524
679,0.998664566
680,0.998664608
681,0.998664649
682,0.99866469
683,0.998664731
684,0.998664772
685,0.998664813
686,0.998664853
687,1
688,0.998658149
689,0.998658233
690,0.998658317
691,0.998658399
692,0.998658481
693,0.998658563
694,0.998658644
695,0.998658724
696,0.998658804
697,0.998658883
698,0.998658961
699,0.998659039
700,0.998659116
701,0.998659193
702,0.998659269
703,0.998654884
704,0.998658041
705,0.998659535
706,0.998659611
707,0.998659684
708,0.998659756
709,0.998659828
710,0.9986599
711,0.998659971
712,0.999646825
713,0.998530266
714,0.998643241
715,0.998658056
716,0.998660049
717,0.998660368
718,0.998660469
719,0.99866054
720,0.998660607
721,0.998660673
722,0.998660739
723,0.998660804
724,0.998660868
725,0.998660933
726,0.998660996
727,0.99866106
728,1
729,0.998654313
730,0.998654429
731,0.998654544
732,0.999638155
733,0.99852778
734,0.998638575
735,0.998652921
736,0.999306325
737,0.998645954
738,0.998655335
739,0.998655515
740,0.998655622
741,0.998655726
742,0.99865583
743,0.998655933
744,0.998656035
745,0.998656137
746,0.998656237
747,0.998656337
748,0.998656435
749,0.998656533
750,0.99865663
751,0.998656727
752,0.998656822
753,0.998656917
754,0.998657011
755,0.998657104
756,0.998657197
757,0.998657288
758,0.998657379
759,0.998657469
760,0.998653709
761,0.998656366
762,0.998657782
763,0.998657871
764,0.998657957
765,0.998658042
766,0.999644947
767,0.998650834
768,0.998658263
769,0.998658405
770,0.998658488
771,0.998658569
772,0.99865865
773,0.99865873
774,0.99865881
775,0.998658888
776,0.998658967
777,0.99964626
778,0.998651739
779,0.998659164
780,0.998659299
781,0.998659375
782,0.998659449
783,0.998659523
784,0.998659597
785,0.99865967
786,0.998659742
787,0.998659814
788,0.998659886
789,1
790,0.998659926
791,0.998659997
792,1
793,0.99866005
794,0.998660121
795,0.99866019
796,0.998660259
797,0.998660328
798,0.998660396
799,0.998660464
800,0.998660531
801,0.998660598
802,0.998660664
803,0.99866073
804,0.998660795
805,0.99866086
806,0.998660925
807,0.998660989
808,0.998661052
809,0.998661116
810,0.998661178
811,0.998661241
812,0.998661303
813,0.998661364
814,0.998661426
815,0.998661486
816,0.998661547
817,0.998661607
818,0.998661666
819,0.998661726
820,0.998661784
821,0.998661843
822,0.998661901
823,0.998661958
824,0.998662016
825,0.998662073
826,0.998662129
827,0.998662186
828,0.998662241
829,0.998662297
830,0.999652826
831,0.998530526
832,0.998644861
833,0.998660167
834,0.998656874
835,0.998662605
836,0.999649254
837,0.99951824
838,0.998397329
839,0.998598295
840,0.998646995
841,0.998659027
842,0.998662055
843,0.998662849
844,0.999644636
845,0.998531163
846,0.998645656
847,0.998660976
848,0.998663065
849,0.998663386
850,0.99866347
851,0.998663523
852,0.998663571
853,0.998663618
854,0.998663665
855,0.998663712
856,0.998663759
857,0.998663805
858,0.998663851
859,0.998663896
860,0.998663942
861,0.998663987
862,0.998664031
863,0.998664076
864,0.998656009
865,0.998662075
866,0.998664232
867,0.998664278
868,0.999651164
869,1
870,0.998474228
871,0.998591075
872,0.998636182
873,0.998653616
874,0.99866037
875,0.998663002
876,0.999646579
877,0.998532573
878,0.9986471
879,0.998662438
880,0.998664534
881,0.998664853
882,0.998664932
883,0.998664978
884,1
885,0.998665196
886,0.998665235
887,0.998665274
888,0.998665312
889,0.99866535
890,0.998665388
891,0.998665426
892,0.998665464
893,0.998665501
894,0.998665539
895,0.998665576
896,0.998665612
897,0.998665649
898,0.998665686
899,0.998665722
900,0.998665758
901,0.998665794
902,0.99866583
903,0.998665865
904,0.999156117
905,0.99866124
906,0.998665968
907,0.998666018
908,0.998666053
909,0.998666087
910,0.998666121
911,0.998666155
912,0.998666189
913,0.998666223
914,0.998666256
915,0.99866629
916,0.998666323
917,0.998666356
918,0.998666389
919,0.998660944
920,0.998666469
921,0.998666501
922,0.998666533
923,0.998666565
924,0.998666597
925,0.998666629
926,0.99866666
927,0.998666692
928,0.998666723
929,0.998666754
930,0.998666785
931,0.998666816
932,0.999653642
933,0.998536413
934,0.998649804
935,0.998664701
936,1
937,0.998476791
938,0.998593596
939,0.998638711
940,0.998656146
941,0.998662896
942,0.99866552
943,0.99866655
944,0.998666966
945,0.998667144
946,0.99866723
947,0.998667281
948,0.998667318
949,0.998667349
950,0.998667379
951,0.998667407
952,0.998667435
953,0.998667463
954,0.998667491
955,0.998667518
956,0.998667546
957,0.998667573
958,0.9986676
959,0.998667627
960,0.998667654
961,0.99866768
962,0.998667707
963,0.999658876
964,0.998535403
965,0.998650071
966,0.998657181
967,0.998665597
968,0.998667834
969,0.998667898
970,0.998667928
971,0.998667955
972,0.99866798
973,0.998668005
974,0.99866803
975,0.998668055
976,0.99866808
977,0.998668105
978,0.99866813
979,0.998668154
980,0.998668179
981,0.998668203
982,0.998668228
983,0.998668252
984,0.998668276
985,0.9986683
986,0.998668324
987,0.998663271
988,0.999653534
989,0.998539995
990,0.998651748
991,0.998666286
992,0.998668196
993,0.998668464
994,0.999651323
995,0.998536409
996,0.998650935
997,0.998666246
998,0.998668312
999,0.998668608
1000,0.998668667
1001,0.998668694
1002,0.998668717
1003,0.998668739
1004,0.998668761
1005,0.998668783
1006,0.998668804
1007,0.998665069
1008,0.99866793
1009,0.998668879
1010,0.998668901
1011,0.998668922
1012,0.998668943
1013,0.998668965
1014,0.998668986
1015,0.998669007
1016,0.998669027
1017,0.998669048
1018,0.998669069
1019,0.99866909
1020,0.99866911
1021,0.998669131
1022,0.999656884
