generation,stra.1,stra.2,stra.3,stra.4,stra.5,stra.6,stra.7,stra.8,stra.9,stra.10,stra.11,stra.12,stra.13,stra.14,stra.15,stra.16,stra.17
initial,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529
0,0.119011781,0.092822862,0.074483617,0.056789243,0.101565052,0.05258241,0.036232634,0.01679914,0.113827087,0.080753388,0.062244867,0.047179117,0.056611154,0.015124677,0.008035376,0,0.065937595
1,0.181796279,0.094022215,0.078656335,0.040159146,0.120591093,0.018425475,0.01294254,3.87E-04,0.171232409,0.073459903,0.062670739,0.03217734,0.041041407,0.001414119,0.001362363,0,0.06966201
2,0.236921575,0.075187738,0.079131554,0.025294131,0.115472264,0.00354287,0.004408362,0,0.220594878,0.055150516,0.062831799,0.02086037,0.02723483,1.89E-04,3.87E-04,0,0.072792731
3,0.283529129,0.052554706,0.078934028,0.014872539,0.098666848,4.24E-04,0.001629582,0,0.2617304,0.037979597,0.063101016,0.013080436,0.017363213,3.09E-05,1.36E-04,0,0.075967479
4,0.320484232,0.033369616,0.078644293,0.008308138,0.078191677,3.11E-05,6.47E-04,0,0.294108602,0.024699204,0.063431985,0.007986865,0.010770865,5.61E-06,5.36E-05,0,0.079267103
5,0.347555313,0.019705775,0.07833348,0.00446971,0.058660558,1.33E-06,2.69E-04,0,0.317734687,0.015407897,0.063778519,0.004787221,0.006551528,1.09E-06,2.27E-05,0,0.082720869
6,0.365914615,0.011032601,0.077992585,0.002342911,0.04229534,3.06E-08,1.15E-04,0,0.333716894,0.009325808,0.064119822,0.002835814,0.003930322,2.25E-07,1.00E-05,0,0.086367836
7,0.377497503,0.005949592,0.077615293,0.001207435,0.029663393,3.23E-10,4.99E-05,0,0.343774741,0.005525348,0.064450564,0.00166823,0.00233578,4.81E-08,4.57E-06,0,0.090257598
8,0.384224467,0.00312789,0.077200175,6.16E-04,0.020418494,9.46E-13,2.17E-05,0,0.349591054,0.003225901,0.06477095,9.78E-04,0.001379613,1.06E-08,2.12E-06,0,0.09444425
