generation,ave_CoopeRate
0,0.498046724
1,0.361395442
2,0.304065023
3,0.263172705
4,0.229056914
5,0.197523873
6,0.167141218
7,0.137797702
8,0.110078539
9,0.084936303
10,0.064270593
11,0.046035003
12,0.03304803
13,0.023931835
14,0.017883222
15,0.014049567
16,0.011718485
17,0.010349575
18,0.009579374
19,0.009178456
20,0.009005081
21,0.008972805
22,0.009029342
23,0.009143268
24,0.009295829
25,0.009475956
26,0.00967724
27,0.009896114
28,0.010130759
29,0.010362521
30,0.010626388
31,0.010905623
32,0.011200972
33,0.011513431
34,0.011844199
35,0.012194667
36,0.012566412
37,0.012961206
38,0.013381031
39,0.013828105
40,0.014304905
41,0.014814208
42,0.015359132
43,0.015943181
44,0.016570313
45,0.017245006
46,0.017972341
47,0.018758111
48,0.019608937
49,0.020532416
50,0.021537307
51,0.022633741
52,0.0238335
53,0.025150345
54,0.026600437
55,0.028202856
56,0.029980263
57,0.031959744
58,0.034173893
59,0.03666222
60,0.040478045
61,0.042653792
62,0.046247411
63,0.050432445
64,0.055284601
65,0.060953292
66,0.06763598
67,0.075594301
68,0.085180734
69,0.096879367
70,0.111369789
71,0.129630348
72,0.153111111
73,0.184035828
74,0.22595497
75,0.284815956
76,0.371158668
77,0.452863832
78,0.494105573
79,0.499929468
80,0.499998086
81,0.499993566
82,0.499978025
83,0.499932787
84,0.499856622
85,0.500226798
86,0.505840127
87,0.547423166
88,0.707743448
89,0.882855101
90,0.953628818
91,0.978213132
92,0.987670259
93,0.991044604
94,0.99379725
95,0.995157646
96,0.995961878
97,0.996493622
98,0.996869693
99,0.997147463
100,0.997359068
101,0.997524168
102,0.996647656
103,0.99725743
104,0.997595097
105,0.997792616
106,0.996921838
107,0.997486035
108,0.997793709
109,0.997967537
110,0.997399539
111,0.997363159
112,0.997598777
113,0.997770429
114,0.997895186
115,0.997989113
116,0.998061399
117,0.998118208
118,0.998163732
119,0.996863844
120,0.998231368
121,0.99825724
122,0.998279239
123,0.998298139
124,0.998314522
125,0.998328831
126,0.998341412
127,0.998027712
128,0.998082528
129,0.99813164
130,0.998174073
131,0.998210766
132,0.998242524
133,0.998270039
134,0.998293903
135,0.998314626
136,0.998332645
137,0.998348338
138,0.997357349
139,0.998255732
140,0.99837057
141,0.998391956
142,0.998401462
143,0.998408751
144,0.998415064
145,0.998420643
146,0.9984256
147,0.998430017
148,0.998433967
149,0.99843751
150,0.9984407
151,0.99844358
152,0.99844619
153,0.998448564
154,0.998450731
155,0.997450776
156,0.998335969
157,0.998442245
158,0.998456093
159,0.998458984
160,0.998460501
161,0.99846178
162,0.998462961
163,0.998464069
164,0.998465112
165,0.998466097
166,0.998467029
167,0.998140623
168,0.998187766
169,0.997434614
170,0.998078921
171,0.998252884
172,0.998312854
173,0.998343312
174,0.997566753
175,0.998190879
176,0.99802306
177,0.998116002
178,0.996847533
179,0.998222518
180,0.998260777
181,0.997794728
182,0.996940759
183,0.997935004
184,0.998129361
185,0.998211736
186,0.998268081
187,0.998311418
188,0.998345487
189,0.998372434
190,0.998393829
191,0.998410877
192,0.998424515
193,0.998107794
194,0.998163063
195,0.998211829
196,0.998253123
197,0.998288116
198,0.998317792
199,0.998342977
200,0.998364364
201,0.998382541
202,0.998397998
203,0.998411153
204,0.998422356
205,0.998431903
206,0.998440047
207,0.998446999
208,0.998452938
209,0.998458018
210,0.998462367
211,0.998466094
212,0.998469293
213,0.998472042
214,0.998474408
215,0.998476448
216,0.997814926
217,0.998265308
218,0.998411952
219,0.998459926
220,0.998476023
221,0.998481768
222,0.998484108
223,0.998485294
224,0.998486059
225,0.998486646
226,0.99848714
227,0.998487573
228,0.99848796
229,0.998488309
230,0.998488626
231,0.998488916
232,0.997491996
233,0.998370312
234,0.998475521
235,0.998491763
236,0.998490878
237,0.998491242
238,0.998491442
239,0.998491615
240,0.998490947
241,0.99848662
242,0.998486881
243,0.998487132
244,0.998489248
245,0.998484934
246,0.99848524
247,0.998485537
248,0.998485826
249,0.998486105
250,0.998486378
251,0.998486642
252,0.9984869
253,0.99848715
254,0.998487394
255,0.997492621
256,0.998368751
257,0.998473955
258,0.998486624
259,0.998488316
260,0.998488702
261,0.998488929
262,0.998489133
263,0.99848933
264,0.998489522
265,0.99848971
266,0.998489894
267,0.998490074
268,0.998496107
269,0.998491442
270,0.998491612
271,0.998491779
272,0.998491943
273,0.998492103
274,0.99849226
275,0.998492414
276,0.998492564
277,0.998492712
278,0.998492858
279,0.998493
280,0.99849314
281,0.998493277
282,0.998493411
283,0.998493543
284,0.998493673
285,0.9984938
286,0.998493925
287,0.998494048
288,0.998494169
289,0.998494287
290,0.998494404
291,0.998494518
292,0.998494631
293,0.998494742
294,0.99849485
295,0.998494957
296,0.998495063
297,0.998495166
298,0.998495268
299,0.998497384
300,0.998490361
301,0.998490558
302,0.99849075
303,0.998495543
304,0.998488523
305,0.998488773
306,0.998496356
307,0.998489278
308,0.997167343
309,0.997834091
310,0.998029136
311,0.998170271
312,0.998268491
313,0.998336762
314,0.998384183
315,0.998417116
316,0.998439994
317,0.998455897
318,0.998466966
319,0.998474685
320,0.998480082
321,0.998483871
322,0.998486545
323,0.998488445
324,0.99848981
325,0.998490802
326,0.998491536
327,0.998492089
328,0.998492517
329,0.998492857
330,0.998493136
331,0.998493371
332,0.998493575
333,0.998493757
334,0.998493923
335,0.998494077
336,0.998501982
337,0.998494375
338,0.998494508
339,0.998494636
340,0.998494761
341,0.998494882
342,0.998495
343,0.998495116
344,0.99849523
345,0.998495341
346,0.998495451
347,0.998495558
348,0.998495664
349,0.998495767
350,0.998495869
351,0.99849597
352,0.998496068
353,0.998496166
354,0.998496261
355,0.998496355
356,0.998496448
357,0.998496539
358,0.998496628
359,0.998496717
360,0.998496804
361,0.998004927
362,0.998115115
363,0.998205488
364,0.998274527
365,0.998327263
366,0.998367547
367,0.99839832
368,0.99842183
369,0.998439795
370,0.998453527
371,0.998464026
372,0.998472058
373,0.998478206
374,0.998482915
375,0.998486527
376,0.998489299
377,0.998491432
378,0.998493075
379,0.998494345
380,0.99849533
381,0.998496096
382,0.998500291
383,0.998495094
384,0.997996943
385,0.997118449
386,0.997664283
387,0.99798187
388,0.99816748
389,0.998278735
390,0.998347422
391,0.998391213
392,0.997630503
393,0.998249468
394,0.998408067
395,0.998452374
396,0.998467746
397,0.998475012
398,0.998479471
399,0.998482618
400,0.998484975
401,0.998486787
402,0.998488199
403,0.998489312
404,0.998490198
405,0.998490912
406,0.998491493
407,0.998491974
408,0.998498634
409,0.998490203
410,0.998490563
411,0.998490884
412,0.998491174
413,0.998491441
414,0.998491688
415,0.99849192
416,0.998492139
417,0.998492347
418,0.998492546
419,0.998492738
420,0.998492922
421,0.998493101
422,0.998493275
423,0.998493444
424,0.998493608
425,0.998493769
426,0.998493926
427,0.998494079
428,0.998494229
429,0.998494376
430,0.99849452
431,0.998494661
432,0.998494799
433,0.998494935
434,0.998495068
435,0.998495198
436,0.998495327
437,0.998495452
438,0.998495576
439,0.998495697
440,0.998495816
441,0.998495933
442,0.998496048
443,0.998496162
444,0.997709592
445,0.998309385
446,0.998452529
447,0.998486254
448,0.998494263
449,0.998503444
450,0.99849451
451,0.998494758
452,0.998494924
453,0.99849507
454,0.998495208
455,0.998499063
456,0.998489708
457,0.997169858
458,0.998489598
459,0.998490451
460,0.998490692
461,0.998490928
462,0.998491158
463,0.99717153
464,0.998490981
465,0.998491802
466,0.998492012
467,0.998492217
468,0.998492418
469,0.998492614
470,0.997504645
471,0.998383717
472,0.998479004
473,0.998491682
474,0.998493345
475,0.998493694
476,0.998504903
477,0.998495065
478,0.998495228
479,0.998495388
480,0.998507653
481,0.998007192
482,0.998114713
483,0.998205847
484,0.998275269
485,0.998328151
486,0.998368438
487,0.998399136
488,0.998422532
489,0.99844037
490,0.998453977
491,0.998464364
492,0.998472298
493,0.998478366
494,0.998483013
495,0.997837157
496,0.998028438
497,0.998170899
498,0.998270335
499,0.998339655
500,0.998387946
501,0.998421578
502,0.998445001
503,0.998461322
504,0.998472703
505,0.998480648
506,0.998486204
507,0.998490099
508,0.998492838
509,0.998494773
510,0.998496148
511,0.998497134
512,0.998497847
513,0.998498371
514,0.998498763
515,0.998499061
516,0.998510025
517,0.99849732
518,0.998497517
519,0.997182221
520,0.998497233
521,0.998497983
522,0.998498117
523,0.997515836
524,0.997966027
525,0.998213986
526,0.998346593
527,0.998417498
528,0.998455423
529,0.998475728
530,0.998486619
531,0.998492483
532,0.99849566
533,0.998497402
534,0.998498377
535,0.998498941
536,0.998499285
537,0.998499511
538,0.998499673
539,0.99801286
540,0.998118666
541,0.998209592
542,0.998278887
543,0.998331694
544,0.998371937
545,0.998402607
546,0.998425985
547,0.998443808
548,0.998457401
549,0.998467771
550,0.998475686
551,0.998481732
552,0.998486354
553,0.998489891
554,0.998492602
555,0.998494684
556,0.998496286
557,0.998497522
558,0.99849848
559,0.998499225
560,0.998499808
561,0.998500267
562,0.998500632
563,0.998500926
564,0.998501164
565,0.99850136
566,0.998501523
567,0.998501662
568,0.998501782
569,0.998501888
570,0.998501982
571,0.998502067
572,0.998502145
573,0.998502218
574,0.998502287
575,0.998502353
576,0.998502416
577,0.998502476
578,0.998515017
579,0.99850064
580,0.998500726
581,0.99850081
582,0.998500893
583,0.998500975
584,0.998501055
585,0.998501133
586,0.998501211
587,0.998501288
588,0.998501363
589,0.998501437
590,0.998501511
591,0.998501583
592,0.998501654
593,0.998501725
594,0.998501794
595,0.998501863
596,0.998501931
597,0.998501998
598,0.998502064
599,0.99850213
600,0.998502194
601,0.998502258
602,0.998502321
603,0.998502384
604,0.998502445
605,0.998502506
606,0.998502567
607,0.998502626
608,0.998502685
609,0.998502744
610,0.998502801
611,0.998518196
612,0.998502923
613,0.998502979
614,0.998503034
615,0.998503089
616,0.998188084
617,0.998222078
618,0.998264161
619,0.998299969
620,0.998330437
621,0.998356358
622,0.998378412
623,0.998397175
624,0.998413138
625,0.99842672
626,0.998438276
627,0.998448109
628,0.998456477
629,0.998463599
630,0.99846966
631,0.998474821
632,0.998479215
633,0.998482958
634,0.998486147
635,0.998488864
636,0.998491181
637,0.998493157
638,0.998494843
639,0.998496283
640,0.998497513
641,0.997187446
642,0.998498863
643,0.998500242
644,0.997721196
645,0.998311703
646,0.998456758
647,0.998491622
648,0.997855821
649,0.998041355
650,0.998181833
651,0.998279774
652,0.998348061
653,0.998395653
654,0.998428811
655,0.998451907
656,0.998467997
657,0.99770006
658,0.998297195
659,0.998447239
660,0.997706488
661,0.998306534
662,0.99845497
663,0.998491228
664,0.998500487
665,0.998503134
666,0.998504082
667,0.998504539
668,0.998504818
669,0.998505013
670,0.998505158
671,0.998505271
672,0.998505361
673,0.998022688
674,0.998123953
675,0.998214409
676,0.998283462
677,0.998336169
678,0.998376395
679,0.998407095
680,0.998430525
681,0.998448408
682,0.998462058
683,0.998488288
684,0.998478794
685,0.998484923
686,0.9984896
687,0.998493171
688,0.998495901
689,0.998497991
690,0.998499594
691,0.998500826
692,0.998501775
693,0.998502509
694,0.99850308
695,0.998503525
696,0.998503876
697,0.998504154
698,0.998504377
699,0.998504557
700,0.998504706
701,0.99850483
702,0.998504935
703,0.998505026
704,0.998505106
705,0.998505177
706,0.998505242
707,0.998505301
708,0.998505357
709,0.99850541
710,0.99850546
711,0.998505508
712,0.998505555
713,0.998505601
714,0.998505646
715,0.998505689
716,0.998505733
717,0.998505775
718,0.998505817
719,0.998193949
720,0.998224808
721,0.998266938
722,0.998302776
723,0.998333259
724,0.998359185
725,0.998381236
726,0.99839999
727,0.99841594
728,0.998429506
729,0.998441044
730,0.998450857
731,0.998459205
732,0.998466307
733,0.998472349
734,0.99847749
735,0.998481866
736,0.99848559
737,0.998488761
738,0.998491462
739,0.998493763
740,0.998495723
741,0.998497395
742,0.998498822
743,0.998500039
744,0.998501079
745,0.998501968
746,0.998502729
747,0.998503381
748,0.99850394
749,0.998504421
750,0.998504834
751,0.998505191
752,0.998505499
753,0.998505765
754,0.998505997
755,0.998506199
756,0.998506376
757,0.998506531
758,0.998506668
759,0.998506789
760,0.998506897
761,0.998506994
762,0.998507081
763,0.998507159
764,0.998507231
765,0.998507297
766,0.998507358
767,0.998507414
768,0.998507467
769,0.998507517
770,0.998507564
771,0.998507608
772,0.998507651
773,0.998507692
774,0.998507731
775,0.998507769
776,0.998528453
777,0.998507847
778,0.998507883
779,0.998507917
780,0.998507951
781,0.998507985
782,0.998508018
783,0.998508051
784,0.998508083
785,0.998508115
786,0.998508147
787,0.998508178
788,0.998508209
789,0.99850824
790,0.998529427
791,0.998508306
792,0.998508337
793,0.998508367
794,0.998508397
795,0.998508427
796,0.997203625
797,0.998507882
798,0.998199177
799,0.998227365
800,0.998269578
801,0.998305473
802,0.997858106
803,0.997980362
804,0.998092583
805,0.998180246
806,0.998248838
807,0.99732931
808,0.996839894
809,0.997560317
810,0.997966763
811,0.998191067
812,0.998339646
813,0.998388846
814,0.998430358
815,0.9984553
816,0.998470857
817,0.998480974
818,0.998487846
819,0.9978541
820,0.997975809
821,0.998148555
822,0.998239721
823,0.998292442
824,0.998329201
825,0.998357813
826,0.998381261
827,0.998400896
828,0.99841748
829,0.998431534
830,0.998443461
831,0.99845359
832,0.998462193
833,0.998469503
834,0.998475714
835,0.998480994
836,0.998485482
837,0.998489297
838,0.998492542
839,0.998495303
840,0.998497652
841,0.998499652
842,0.998501354
843,0.998502805
844,0.998504042
845,0.998505097
846,0.998505997
847,0.998506767
848,0.998507425
849,0.998507988
850,0.998508471
851,0.998508886
852,0.998509242
853,0.998035699
854,0.997656232
855,0.997837459
856,0.997996049
857,0.998117407
858,0.998210237
859,0.998281226
860,0.998335501
861,0.998376993
862,0.998408711
863,0.998432956
864,0.997979562
865,0.998084396
866,0.998184864
867,0.997494553
868,0.99813038
869,0.998345403
870,0.998387964
871,0.998422642
872,0.998444783
873,0.998460657
874,0.998472536
875,0.998481552
876,0.998488429
877,0.998493683
878,0.998497702
879,0.998500779
880,0.998503137
881,0.998504946
882,0.998506336
883,0.998507407
884,0.998508234
885,0.998508874
886,0.998509373
887,0.998037213
888,0.998129043
889,0.99745531
890,0.998102763
891,0.998298221
892,0.997737396
893,0.998196362
894,0.998366597
895,0.998455237
896,0.998456262
897,0.998471674
898,0.998481253
899,0.99848786
900,0.998492678
901,0.998025944
902,0.998118609
903,0.998210945
904,0.998281416
905,0.998335196
906,0.998376236
907,0.998407556
908,0.998431462
909,0.998449712
910,0.998490149
911,0.998495022
912,0.997708417
913,0.998292395
914,0.998441211
915,0.998479125
916,0.998490156
917,0.998494365
918,0.998496614
919,0.998498136
920,0.998499286
921,0.998500196
922,0.998500932
923,0.998501538
924,0.998502044
925,0.998502473
926,0.998502844
927,0.998503168
928,0.998503457
929,0.998503719
930,0.998503958
931,0.99850418
932,0.998504389
933,0.998504585
934,0.998504773
935,0.998504953
936,0.998505126
937,0.998505294
938,0.998505457
939,0.998505616
940,0.998505771
941,0.998505923
942,0.998506071
943,0.998506217
944,0.99850636
945,0.9985065
946,0.998207132
947,0.998226042
948,0.998268247
949,0.998304155
950,0.998334704
951,0.998360695
952,0.998382808
953,0.998401623
954,0.998417633
955,0.998431258
956,0.998442855
957,0.997824673
958,0.998033683
959,0.998149059
960,0.998252495
961,0.99832545
962,0.998376997
963,0.998413514
964,0.998439474
965,0.998458013
966,0.998471323
967,0.998480941
968,0.998487944
969,0.998493087
970,0.9984969
971,0.998499759
972,0.998501927
973,0.998503593
974,0.99850489
975,0.998505914
976,0.998506734
977,0.9985074
978,0.9980419
979,0.998128002
980,0.998218617
981,0.997528609
982,0.998153895
983,0.9983369
984,0.998401348
985,0.998432795
986,0.998452618
987,0.998466773
988,0.997513848
989,0.997954293
990,0.998208934
991,0.998345978
992,0.998419982
993,0.998460177
994,0.998482201
995,0.998494417
996,0.998501309
997,0.998505286
998,0.998507648
999,0.998509102
1000,0.998510034
1001,0.998510659
1002,0.998511099
1003,0.998511423
1004,0.998215277
1005,0.998230983
1006,0.998273379
1007,0.998309412
1008,0.998340037
1009,0.998366065
1010,0.998420982
1011,0.998405187
1012,0.998421147
1013,0.998434722
1014,0.99844627
1015,0.997990487
1016,0.998084083
1017,0.998182518
1018,0.997501675
1019,0.998129442
1020,0.998316396
1021,0.998384205
1022,0.998418481
1023,0.998440672
1024,0.99845681
1025,0.99846906
1026,0.998478503
1027,0.998485829
1028,0.998491534
1029,0.998495992
1030,0.998499487
1031,0.997744956
1032,0.998314928
1033,0.998460911
1034,0.998496725
1035,0.99854002
1036,0.997219394
1037,0.998507925
1038,0.998508663
1039,0.998509212
1040,0.998509658
1041,0.998510033
1042,0.997222856
1043,0.998510027
1044,0.998510883
1045,0.998511101
1046,0.998511297
1047,0.998511475
1048,0.998511639
1049,0.99851179
1050,0.998511931
1051,0.998512064
1052,0.99851219
1053,0.99851231
1054,0.998512425
1055,0.998512535
1056,0.998512642
1057,0.998512745
1058,0.998512846
1059,0.998512944
1060,0.99851304
1061,0.998513134
1062,0.998513227
1063,0.998513317
1064,0.998513407
1065,0.998513495
1066,0.998513581
1067,0.998513667
1068,0.998513751
1069,0.998513835
1070,0.998513918
1071,0.998513999
1072,0.99851408
1073,0.99851416
1074,0.99851424
1075,0.998514318
1076,0.998514396
1077,0.998514474
1078,0.99851455
1079,0.998514626
1080,0.998514702
1081,0.998514777
1082,0.998514851
1083,0.997231498
1084,0.998515003
1085,0.998515076
1086,0.998515148
1087,0.99851522
1088,0.998515291
1089,0.998515362
1090,0.998515432
1091,0.998515502
1092,0.998515571
1093,0.99851564
1094,0.998515709
1095,0.998515777
1096,0.998515844
1097,0.998515912
1098,0.998515979
1099,0.998516045
1100,0.998516111
1101,0.998516177
1102,0.998516243
1103,0.998516308
1104,0.998516373
1105,0.998516437
1106,0.998516501
1107,0.998516565
1108,0.998516628
1109,0.998516692
1110,0.998516754
1111,0.998516817
1112,0.997235233
1113,0.998516337
1114,0.99851701
1115,0.998517071
1116,0.998517132
1117,0.998517193
1118,0.998517254
1119,0.998517315
1120,0.998517375
1121,0.998517435
1122,0.998517495
1123,0.998517554
